cpu_generation,cpu_cores,brand,color,scraped_at,gpu_type,intended_use,ram_gb,cpu_family,ssd_gb,screen_size_inch,weight,gpu_vram_gb,refresh_rate_hz,cpu_model,price_try,cpu_max_ghz,url,panel_type,ram_type,platform,display_standard,hdd_gb,operating_system,resolution,gpu_model,gpu_vram_type,title
,,lenovo,gri; siyah,2025-12-17 11:02:44,integrated,ev - okul,4.0,other,128.0,15.6,2 - 4 kg,0.0,,,9399.0,3.2,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-n100-4gb-ram-128gb-ssd-15-6-w11-laptop-82xb009gtx-p-880830432?boutiqueid=61&merchantid=413566,tn,,trendyol,full hd (fhd),,,1920x1080,intel uhd graphics,,"ideapad slim 3/ intel n100/ 4gb ram/ 128gb ssd/ 15.6""/ w11/ laptop 82xb009gtx"
,2.0,casper,gri,2025-12-17 11:02:45,integrated,ofis - i̇ş,4.0,intel celeron,120.0,15.6,2 kg ve altı,0.0,60.0,n4020,11000.0,2.8,https://www.trendyol.com/casper/nirvana-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-laptop-c370-4020-4c00b-p-358003688?boutiqueid=61&merchantid=275331,tn,lpddr4,trendyol,hd ready (hd),,windows home,1366x768,intel uhd graphics 600,,"nirvana intel celeron n4020 4gb ram 120gb ssd windows 11 home 15.6"" hd laptop c370.4020-4c00b"
13.0,10.0,casper,siyah; gri,2025-12-17 11:02:46,dedicated,oyun,32.0,intel core i7,,15.6,2 - 4 kg,6.0,165.0,13620h,47999.0,4.9,https://www.trendyol.com/casper/excalibur-i7-13620h-32gb-1tb-ssd-6gb-rtx4050-105w-165hz-15-6-dos-gaming-laptop-g870-1362-dfa0x-c-p-672157475?boutiqueid=61&merchantid=141868,ips,ddr4,trendyol,full hd (fhd),,freedos,1920x1080,nvidia geforce rtx 4050,gddr6,"excalibur i7-13620h 32gb 1tb ssd 6gb rtx4050 105w 165hz 15.6"" dos gaming laptop g870.1362-dfa0x-c"
5.0,4.0,lenovo,çok renkli; siyah,2025-12-17 11:02:48,integrated,ofis - i̇ş,16.0,amd ryzen 5,512.0,15.6,2 - 4 kg,0.0,,7520u,19899.0,3.0,https://www.trendyol.com/lenovo/v15-82yu0123tx-ryzen5-7520u-16gb-512ssd-15-6-freedos-p-816046818?boutiqueid=61&merchantid=514546,,birleşik bellek,trendyol,full hd (fhd),256.0,windows home,1920x1080,dahili ekran kartı,,v15 82yu0123tx ryzen5-7520u 16gb 512ssd 15.6 freedos
4.0,4.0,lenovo,gri,2025-12-17 11:02:49,integrated,ev - okul,4.0,intel celeron,,15.6,2 kg ve altı,0.0,60.0,n4120,10819.0,,https://www.trendyol.com/lenovo/ideapad1-intel-celeron-n4120-4gb-128gb-emmc-dos-15-6-cloud-grey-laptop-lenovo-turkiye-garantili-p-652489295?boutiqueid=61&merchantid=557390,tn,ddr4,trendyol,hd ready (hd),,freedos,1366x768,dahili ekran kartı,dahili,"ideapad1 intel celeron-n4120 4gb 128gb emmc dos 15.6"" cloud grey laptop (lenovo türkiye garantili)"
5.0,6.0,acer,gri; gri,2025-12-17 11:02:51,integrated,ofis - i̇ş,8.0,amd ryzen 5,512.0,14.0,2 kg ve altı,0.0,60.0,5500u,19100.0,4.0,https://www.trendyol.com/acer/swift-3-amd-ryzen-5-5500u-8gb-512gb-ssd-freedos-14-1-2kg-fhd-gumus-dizustu-bilgisayar-nx-ab1ey-002-p-300442845?boutiqueid=61&merchantid=1205934,tn,lpddr4x,trendyol,full hd (fhd),512.0,freedos,1920x1080,amd radeon r5,dahili,"swift 3 amd ryzen 5-5500u 8gb 512gb ssd freedos 14"" 1.2kg fhd gümüş dizüstü bilgisayar nx.ab1ey.002"
,4.0,lenovo,gri,2025-12-17 11:02:52,integrated,ofis - i̇ş,4.0,intel celeron,128.0,15.6,2 kg ve altı,0.0,,alder lake-n n100,10297.0,2.6,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-celeron-n100-4gb-128gb-intel-uhd-graphics-15-6-fhd-w11-notebook-p-382953334?boutiqueid=61&merchantid=1132800,tn,ddr4,trendyol,full hd (fhd),,windows home,1366x768,intel uhd graphics 600,,"ideapad slim 3 intel celeron n100 4gb 128gb intel uhd graphics 15.6"" fhd w11 notebook"
5.0,8.0,lenovo,gri,2025-12-17 11:02:53,integrated,ev - okul,16.0,amd ryzen 7,512.0,15.6,2 kg ve altı,0.0,60.0,5825u,23999.0,4.3,https://www.trendyol.com/lenovo/ideapad-3-amd-ryzen-7-5825u-16gb-512gb-ssd-15-6-fhd-freedos-laptop-p-752653765?boutiqueid=61&merchantid=1018234,tn,ddr4,trendyol,full hd (fhd),,freedos,1920x1080,amd radeon graphics,dahili,"ideapad 3 amd ryzen 7 5825u 16gb 512gb ssd 15.6"" fhd freedos laptop"
4.0,2.0,lenovo,gri,2025-12-17 11:02:55,integrated,ev - okul,4.0,intel celeron,128.0,15.6,2 - 4 kg,0.0,60.0,n4020,10699.0,2.5,https://www.trendyol.com/lenovo/ideapad-intel-celeron-4gb-128gb-ssd-windows-11-15-6-cloud-grey-dizustu-bilgisayar-p-811944598?boutiqueid=61&merchantid=200228,tn,ddr4,trendyol,hd ready (hd),,windows home,1366x768,dahili ekran kartı,dahili,"ideapad intel celeron 4gb 128gb ssd windows 11 15.6"" cloud grey dizüstü bilgisayar"
,2.0,lenovo,gümüş,2025-12-17 11:02:56,integrated,ev - okul,4.0,intel celeron,128.0,14.0,2 kg ve altı,0.0,,n4020,25076.87,2.3,https://www.trendyol.com/lenovo/ideapad-intel-celeron-n4020-4gb-128gb-ssd-freedos-14-p-367015572?boutiqueid=61&merchantid=222210,tn,ddr4,trendyol,hd ready (hd),,freedos,1366x768,intel uhd graphics 600,ddr4,ideapad intel celeron n4020 4gb 128gb ssd freedos 14''
