Başlık,Marka,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci,İşlemci Nesli,İşlemci Çekirdek Sayısı,Maksimum İşlemci Hızı,Ram (Sistem Belleği),Ram Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,SSD Kapasitesi,Harddisk Kapasitesi,Ekran Boyutu,Max Ekran Çözünürlüğü,Ekran Özelliği,Ekran Yenileme Hızı,Ekran Panel Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Apple MacBook Air M4 16GB 256GB SSD macOS 15"" Taşınabilir Bilgisayar Gümüş MW1G3TU/A",Apple,,,,,,,,,,,,,,,,,,,,,,,2025-12-03 00:31:50,61.899 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=eS9TSTZiRVhFVSt1czVNUk1ocS9rQ3pSQlFVWjFwMEhrWENKbWp4N2dOMC9jOENqY3NKejI1bXU2L1lHaE03cE1JQWZIY3o2MEVYUUhLc3NUVEhIclFVUlplUGg2dkN3czdRNE9RSHdLZUs2N05CdkNoN1NUTGR6Ulh6RVZ5Y2NGaDdSbE42Q1JNTEdBcUcyNjdKSjdhaHBxL1JOSlhmeU5JNU96d1hPcCtodFFKRDR0clNmMGpRcFl1SXpHVnVvU2RtV3p0b3V3aHQ1dG9nejJwb3dZT0tYdVdkeU0wNitsRTBHb0lubWRUc1BFcThMaDF5VDgraEhTTHAwZWNqK3VRajNtWktRY2NPT2JScFlUaXVZVnMxTExTQkpEd0Y1Y1VlM1l4cFovOHJnK3lyR3pUQzRUdjVERWdvWFRmL1ltMitUZ3MvaUJkN2VDVDVWcHU4ejlFbXpTUk5TckxYYUNOUDU1b1V3ajdWYzdGVU9MZ2ZGTS9Lc25tZG10RXM3SGl2M0w0cDllN0hxWVJuUjU3SFhIUkUvcG9jb0p6b0VaVENnbVRId2k2KzVscHNybktqU3FTSFhPTHdDVkhHU2JqRTErVWlaVS9CZ1cyMkg0TllRZlc5MmVFU213Zy9yajdDYkd6YWxIc2dnQXM4eFNVTGpaSUhSRjREUTUzOUM2ck5oeUFyd1k0UjUya2VQUVNTazkrNmV3OVFTM3U4elRUaXJLdHlw&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fapple-macbook-air-m4-16gb-256gb-ssd-macos-15-tasinabilir-bilgisayar-gumus-mw1g3tu-a-p-HBCV00008749UT%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=ba22e137-10b9-4d91-acf8-2f19be972958
"MSI CYBORG 15 A13VE-1252XTR Intel Core i5 13420H 16GB 512GB SSD RTX4050 Freedos 15.6"" FHD Taşınabilir Bilgisayar",MSI,Oyun ve Eğlence,Siyah,1 - 2 kg,Intel Core i5,Intel Core i5,13.Nesil,,"4,6 GHz",16 GB,DDR5,Nvidia GeForce RTX 4050,Yüksek Seviye Harici Ekran Kartı,6 GB,GDDR6,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,TN,Yok (Free Dos),2025-12-03 00:31:52,36.299 TL,https://www.hepsiburada.com/msi-cyborg-15-a13ve-1252xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx4050-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00006IUW8W
"Lenovo Ideapad Slim 3 Intel Celeron N100 4GB 128GB Windows 11 Home 15.6"" FHD Taşınabilir Bilgisayar 82XB009GTX",Lenovo,,Gri,2 kg ve Altı,Intel Celeron,N100,İntel N Serisi,,"3,4 GHz",4 GB,LPDDR5,Onboard,Dahili Ekran Kartı,Belirtilmemiş,Onboard,Yok,128 GB,"15,6 inç",1920 x 1080,,,TN,Windows 11 Home Single Language,2025-12-03 00:31:54,8.899 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-celeron-n100-4gb-128gb-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-82xb009gtx-pm-HBC00008O183I
"Erazer Defender 17 P1 MD62757 Intel Core i7 13620H 16GB 1TB SSD RTX5060 Freedos 17.3"" Taşınabilir Bilgisayar",Erazer,,Siyah,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,"4,9 GHz",,DDR5,Nvidia GeForce RTX 5060,Harici Ekran Kartı,8 GB,GDDR7,,Yok,"17,3 inç",1920 x 1080,,,FHD,Yok (Free Dos),2025-12-03 00:31:56,51.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=dmh5WXlXZG10S0tLVU1oMm5SZUdiQXZkVmxYS3Zub0RLcy9rL3Q0M1BWNXI4VzA2OEdKSEJYaEh6RFdnTWpHeTRGM2IreHFnb2JaTnBEUEJKZTF6ZkF4alNsMXkxZTAydGFxQngzc29RK1VjNmVzVTBWUVpiZEZNajc3aXJLMUxEQzNSNHR5T1Z1eDV2NGFpTyt5S3hzci9iaEpDd0lXVThHS3p4WUt2V0p1emhqY0tiMlJWd2FoWU1vYVpTbDdGMnFucWZ3Vk5XMnJHc1ZCZnRndXE2UmRWNUdtRkNXRWR6dVY5dXZsOUh1WmJVUVlQTm1OQ0NjRDl3WmhnNXVZMjdJNUx1c2FhdWx2MkF2SXlTQVJyY2dPRUhVczlKK1BKaFZYMkNqYUxNb2RHTFNwS1gwWjFJMnE2U3RBckVrL3I3aGF6L0NuNnVRblhEeWE2Y1RJSnViTHdnQXBPRERFZ0V3TE5GczBGNWNVLzNaWE1GaVJTY0lWQVBLNVlrRzN4THZPczZuTys0ZlZOK2NoR3M4QlhvcFJobTJNNHFXTUIwK3BuRWFjVW4wU1p0ZmYrdEkzbjhtSXVVVWZzbWZwL0ttcEkvcnBWcmZ4V3ZIWWdNTi9NV2FpTzNDbjlxZVY2Rm02d0R3NHpBY2c0UHpNOXE2dWt0ekladU1PYmd6UEhsK295VHVkZk13eE15cG9RN1Z5RU1JVUtTSzhTWENreHJ3WWMxRzdl&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Ferazer-defender-17-p1-md62757-intel-core-i7-13620h-16gb-1tb-ssd-rtx5060-freedos-17-3-tasinabilir-bilgisayar-p-HBCV0000AKZ9KA%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=ba22e137-10b9-4d91-acf8-2f19be972958
"Erazer Deputy 15 P1 MD62764 Intel Core 5 210H 16GB 1TB SSD RTX5060 Freedos 15.6"" 144Hz Fhd IPS Taşınabilir Bilgisayar",Erazer,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i5,210H,Series 2,8,"4,8 GHz",,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,IPS,Yok (Free Dos),2025-12-03 00:31:58,47.999 TL,https://www.hepsiburada.com/erazer-deputy-15-p1-md62764-intel-core-5-210h-16gb-ram-1tb-ssd-rtx5060-15-6-144hz-fhd-ips-freedos-tasinabilir-bilgisayar-pm-HBC00009FHJ5Z
"Lenovo Ideapad Slim 3 Intel Core i5 13420H 16GB 512GB SSD 15.3"" WUXGA IPS Freedos Taşınabilir Bilgisayar 83K1003MTR",Lenovo,Ofis ve İş,Gri,2 kg ve Altı,Intel Core i5,Intel Core i5,13.Nesil,8,"4,6 GHz",16 GB,DDR5,Onboard,Dahili Ekran Kartı,Paylaşımlı,Onboard,512 GB,Yok,"15,3 inç",1920 x 1200,WUXGA,60 Hz,IPS,Yok (Free Dos),2025-12-03 00:32:00,21.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-13420h-16gb-512gb-ssd-freedos-15-3-wuxga-tasinabilir-bilgisayar-83k1003mtr-pm-HBC00008O31RA
"MSI THIN 15 B13UC-3074XTR Intel Core i5 13420H 16GB 512GB SSD RTX3050 Freedos 15.6"" FHD 144Hz Taşınabilir Bilgisayar",MSI,Oyun ve Eğlence,"Gri, Gri",2 kg ve Altı,Intel Core i5,Intel Core i5,13.Nesil,,"4,6 GHz",16 GB,DDR4,Nvidia GeForce RTX 3050,Harici Ekran Kartı,4 GB,GDDR6,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,FHD,Yok (Free Dos),2025-12-03 00:32:02,"29.998,99 TL",https://www.hepsiburada.com/msi-thin-15-b13uc-3074xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-HBC00008QM2JK
"Casper Excalibur G870 Intel Core i7 13620H 24GB 1TB SSD RTX5060 Freedos 15.6"" 165Hz Taşınabilir Bilgisayar G870.1362-CF60X-C",Casper,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,"4,9 GHz",,DDR5,Nvidia GeForce RTX 5060,Harici Ekran Kartı,8 GB,GDDR7,,Yok,"15,6 inç",1920 x 1080,Full HD,165 Hz,IPS,Yok (Free Dos),2025-12-03 00:32:04,51.999 TL,https://www.hepsiburada.com/casper-excalibur-g870-intel-core-i7-13620h-24gb-1tb-ssd-rtx5060-freedos-15-6-165hz-tasinabilir-bilgisayar-g870-1362-cf60x-c-pm-HBC0000A9HHKW
HP Omen 16-AP0019NT C12CNEA Amd Ryzen 9-8940HX 32GB Ram 1tb SSD 8gb Geforce RTX5070 16 Inç 2k 144Hz Freedos Siyah Taşınabilir Bilgisayar,HP,,"Siyah, Siyah",2 - 4 kg,AMD Ryzen 9,8940HX,8.Nesil,,"5,3 GHz",,DDR5,Nvidia GeForce RTX 5070,Harici Ekran Kartı,8 GB,GDDR7,,Yok,16 inç,1920 x 1200,,144 Hz,IPS,FreeDos,2025-12-03 00:32:06,"78.450,84 TL",https://adservice.hepsiburada.com/event/api/v1/track?event=TVhVZlBOWGh5b1lRQ3ZuQTk2Mi9ONUx0QzZ2WDRqZ3ZyeWJCVDMrQmJyYWhVcXE3SDlJSGpyMnM3MEMySk8vSUgyVy90ci9nQTVPZHZIU29sakl1cEVSL01UeXArbkFXNldEd2E2R0svNVpWSEpjblRzZWpITnFxbUhUUE9nb0phVTZIWTR2U2JEd2o0bkRDdlhkaWJzdDczZU5XQ0V0WndZb2l6U0FSZUo1UUR4azlVNS9Vb3dWcXc4NWxITlNVazFObXFMRmRtWVFxZkc4UWMzQktCUG1ld3NjZVp6R0lFRFN3aTUyTVFIWVh1Nko4TkxhT1VXVm1ra0JLZ21Pd3RxL3REb1VYN2JzZmkwMmJZZUVPbWZmazBrcVVJajc3TXhBU1A1TU5rdTV0SGxGazM4b3BwcTJTVUc5djZlelE1Mjc0Rk9EUHFIWE1LY3dkM01iTlUrdU5ZVFJCY0xERHhScVROdEc5aXZyeHhId1NFOEM4V2gvNmhHQ0IrSStrU3VOSnVxSTdhT3VuSHowQ2s3cTNtc3cybm1aU0ZZT1hhZGZIYnV1eTl6VjFMT0RyZmdrOVJ6WHFPQjZTNElqcGt1QkhUV0VHZGJlNkxqRWNUTjNBcFNHTGlleHVmazhyeHpIZkxYT0l5RWc0OW0vNTVhTUszU0UzdGpYdm9pN25QL3M1Rnc4RlpCTjNFZVZ6YTRmVDMrTkNUWEtsY3BvN3hvdHZEaUdF&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fhp-omen-16-ap0019nt-c12cnea-amd-ryzen-9-8940hx-32gb-ram-1tb-ssd-8gb-geforce-rtx5070-16-inc-2k-144hz-freedos-siyah-tasinabilir-bilgisayar-p-HBCV00009YWYMK%3Fmagaza%3DHP+Store+T%C3%BCrkiye&eventName=sp-click&platform=desktop&anonymousId=ba22e137-10b9-4d91-acf8-2f19be972958
"Lenovo IdeaPad Slim 3 AMD Ryzen 7 5825U 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82XM00U8TX",Lenovo,Ofis ve İş,Gri,2 kg ve Altı,AMD Ryzen 7,Ryzen 7,Ryzen,8,"4,5 GHz",,DDR4,Onboard,Onboard,Paylaşımlı,Onboard,,Yok,"15,6 inç",1920 x 1080,Full HD,,TN,Yok (Free Dos),2025-12-03 00:32:08,"17.991,97 TL",https://www.hepsiburada.com/lenovo-ideapad-slim-3-amd-ryzen-7-5825u-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82xm00u8tx-pm-HBC00009POGNP
