title,brand,intended_use,color,weight,cpu_family,cpu_model,cpu_generation,cpu_cores,cpu_max_ghz,ram_gb,ram_type,gpu_model,gpu_type,gpu_vram_gb,gpu_vram_type,ssd_gb,hdd_gb,screen_size_inch,resolution,display_standard,refresh_rate_hz,panel_type,operating_system,scraped_at,price_try,url,platform,source_file
"msi cyborg 15 a13ve-1252xtr intel core i5 13420h 16gb 512gb ssd rtx4050 freedos 15.6"" fhd taşınabilir bilgisayar",msi,oyun,siyah,1 - 2 kg,intel core i5,intel core i5,13.0,,4.6,16.0,ddr5,nvidia rtx 4050,dedicated_high_end,6.0,gddr6,512.0,,15.6,1920x1080,fhd,144.0,tn,freedos,2025-12-03 00:31:52,36299.0,https://www.hepsiburada.com/msi-cyborg-15-a13ve-1252xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx4050-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-hbc00006iuw8w,hepsiburada,hb_details_202512030147.csv
"lenovo ideapad slim 3 intel celeron n100 4gb 128gb windows 11 home 15.6"" fhd taşınabilir bilgisayar 82xb009gtx",lenovo,,gri,2 kg ve altı,intel celeron,n100,,,3.4,4.0,lpddr5,integrated,integrated,,shared,,128.0,15.6,1920x1080,fhd,,tn,windows home,2025-12-03 00:31:54,8899.0,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-celeron-n100-4gb-128gb-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-82xb009gtx-pm-hbc00008o183i,hepsiburada,hb_details_202512030147.csv
"erazer deputy 15 p1 md62764 intel core 5 210h 16gb 1tb ssd rtx5060 freedos 15.6"" 144hz fhd ips taşınabilir bilgisayar",erazer,oyun,siyah,2 - 4 kg,intel core i5,210h,2.0,8.0,4.8,16.0,ddr5,nvidia rtx 5060,dedicated_high_end,8.0,gddr7,1024.0,,15.6,1920x1080,fhd,144.0,ips,freedos,2025-12-03 00:31:58,47999.0,https://www.hepsiburada.com/erazer-deputy-15-p1-md62764-intel-core-5-210h-16gb-ram-1tb-ssd-rtx5060-15-6-144hz-fhd-ips-freedos-tasinabilir-bilgisayar-pm-hbc00009fhj5z,hepsiburada,hb_details_202512030147.csv
"lenovo ideapad slim 3 intel core i5 13420h 16gb 512gb ssd 15.3"" wuxga ips freedos taşınabilir bilgisayar 83k1003mtr",lenovo,ofis-is,gri,2 kg ve altı,intel core i5,intel core i5,13.0,8.0,4.6,16.0,ddr5,integrated,integrated,0.0,shared,512.0,,15.3,1920x1200,wuxga,60.0,ips,freedos,2025-12-03 00:32:00,21999.0,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-13420h-16gb-512gb-ssd-freedos-15-3-wuxga-tasinabilir-bilgisayar-83k1003mtr-pm-hbc00008o31ra,hepsiburada,hb_details_202512030147.csv
"msi thin 15 b13uc-3074xtr intel core i5 13420h 16gb 512gb ssd rtx3050 freedos 15.6"" fhd 144hz taşınabilir bilgisayar",msi,oyun,gri,2 kg ve altı,intel core i5,intel core i5,13.0,,4.6,16.0,ddr4,nvidia rtx 3050,dedicated,4.0,gddr6,512.0,,15.6,1920x1080,fhd,144.0,,freedos,2025-12-03 00:32:02,29998.99,https://www.hepsiburada.com/msi-thin-15-b13uc-3074xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-hbc00008qm2jk,hepsiburada,hb_details_202512030147.csv
"lenovo ideapad slim 3 amd ryzen 7 5825u 8gb 512gb ssd freedos 15.6"" fhd taşınabilir bilgisayar 82xm00u8tx",lenovo,ofis-is,gri,2 kg ve altı,amd ryzen 7,ryzen 7,,8.0,4.5,8.0,ddr4,integrated,integrated,0.0,shared,512.0,,15.6,1920x1080,fhd,,tn,freedos,2025-12-03 00:32:08,17991.97,https://www.hepsiburada.com/lenovo-ideapad-slim-3-amd-ryzen-7-5825u-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82xm00u8tx-pm-hbc00009pognp,hepsiburada,hb_details_202512030147.csv
"game garaj slayer x7t-5060 c2 intel core i7 14650hx 32gb ram 1tb ssd rtx5060 16"" qhd+ 180hz ips freedos oyuncu laptop",game garaj,oyun,gri,2 - 4 kg,intel core i7,14650hx,14.0,16.0,5.2,32.0,ddr5,nvidia rtx 5060,dedicated_high_end,8.0,gddr7,1024.0,,16.0,2560x1600,qhd_plus,180.0,ips,freedos,2025-12-03 00:32:14,59999.0,https://www.hepsiburada.com/game-garaj-slayer-x7t-5060-c2-intel-core-i7-14650hx-32gb-ram-1tb-ssd-rtx5060-16-qhd-180hz-ips-freedos-oyuncu-laptop-p-hbcv00009meibk,hepsiburada,hb_details_202512030147.csv
"huawei matebook d14 2024 intel core i5 12450h 16gb 512gb ssd windows 11 home 14"" taşınabilir bilgisayar",huawei,ofis-is,gri,1 - 2 kg,intel core i5,12450h,12.0,,,16.0,,intel integrated,integrated,0.0,shared,512.0,,14.0,1920x1200,,,ips,windows home,2025-12-03 00:32:16,24499.0,https://www.hepsiburada.com/huawei-matebook-d14-2024-intel-core-i5-12450h-16gb-512gb-ssd-windows-11-home-14-tasinabilir-bilgisayar-pm-hbc000065ln09,hepsiburada,hb_details_202512030147.csv
"hp 15 fc0059nt amd ryzen 7 7730u 16gb 512gb ssd freedos 15.6"" fhd taşınabilir bilgisayar 8m1t1ea",hp,,siyah,1 - 2 kg,amd ryzen 7,amd ryzen 7,,,4.5,16.0,ddr4,integrated,integrated,0.0,shared,512.0,,15.6,1920x1080,fhd,,ips,freedos,2025-12-03 00:32:20,19999.0,https://www.hepsiburada.com/hp-15-fc0059nt-amd-ryzen-7-7730u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-8m1t1ea-pm-hbc000050xw3w,hepsiburada,hb_details_202512030147.csv
"lenovo ideapad slim 3 intel core i3 1315u 8gb 512gb ssd freedos 15.6"" fhd taşınabilir bilgisayar 82x700g0tx",lenovo,ofis-is,gri,2 kg ve altı,intel core i3,1315u,13.0,6.0,4.5,8.0,lpddr5,integrated,integrated,0.0,shared,512.0,,15.6,1920x1080,fhd,,tn,freedos,2025-12-03 00:32:26,17022.9,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i3-1315u-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82x700g0tx-pm-hbc00009pyls9,hepsiburada,hb_details_202512030147.csv
