Başlık,Marka,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Maksimum İşlemci Hızı (GHz),Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,SSD Kapasitesi,Hard Disk Kapasitesi,Ekran Boyutu,Çözünürlük,Çözünürlük Standartı,Ekran Yenileme Hızı,Panel Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Macbook Air M1 Çip 8gb 256gb Ssd Macos 13"" Qhd Taşınabilir Bilgisayar Uzay Grisi",Apple,Ev - Okul,Gri,2 kg ve altı,Apple M1,Belirtilmemiş,1. Nesil,8,,8 GB,DDR2,Dahili Ekran Kartı,Dahili,Paylaşımlı,DDR2,256 GB,250 GB,"13,3 inç",2560 x 1600,Retina,120 Hz,,Mac Os,2025-12-03 01:49:24,"44.799,23 TL",https://www.trendyol.com/apple/macbook-air-m1-cip-8gb-256gb-ssd-macos-13-qhd-tasinabilir-bilgisayar-uzay-grisi-p-68042136?boutiqueId=61&merchantId=374206
"Ideapad Slim 3/ Intel N100/ 4gb Ram/ 128gb Ssd/ 15.6""/ W11/ Laptop 82xb009gtx",LENOVO,Ev - Okul,Gri; Siyah,2 - 4 kg,Intel Alder Lake N100,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,3.2,4 GB,Belirtilmemiş,Intel UHD Graphics,Dahili,Paylaşımlı,Belirtilmemiş,128 GB,Belirtilmemiş,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,Belirtilmemiş,2025-12-03 01:49:25,8.799 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-n100-4gb-ram-128gb-ssd-15-6-w11-laptop-82xb009gtx-p-880830432?boutiqueId=61&merchantId=413566
"Nirvana Intel Celeron N4020 4GB RAM 120GB SSD Windows 11 Home 15.6"" Hd Laptop C370.4020-4C00B",CASPER,Ofis - İş,Gri,2 kg ve altı,Intel Celeron,N4020,Belirtilmemiş,2,2.8,4 GB,LPDDR4,Intel UHD Graphics 600,Dahili,Paylaşımlı,Belirtilmemiş,120 GB,HDD Yok,"15,6 inç",1366 x 768,HD Ready (HD),60 Hz,TN,Windows,2025-12-03 01:49:27,10.899 TL,https://www.trendyol.com/casper/nirvana-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-laptop-c370-4020-4c00b-p-358003688?boutiqueId=61&merchantId=114258
"IdeaPad Slim3 Intel Core i5-12450H 8GB 512GB SSD DOS 15.6"" FHD Arctic Grey Laptop 83ER000WTR",LENOVO,Ofis - İş,Gri,2 kg ve altı,Intel Core i5,12450H,12. Nesil,8,4.4,8 GB,LPDDR5,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1200,Full HD (FHD),60 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:49:28,22.999 TL,https://www.trendyol.com/lenovo/ideapad-slim3-intel-core-i5-12450h-8gb-512gb-ssd-dos-15-6-fhd-arctic-grey-laptop-83er000wtr-p-772120068?boutiqueId=61&merchantId=1007811
"Excalibur i7-13620H 32GB 1TB SSD 6GB RTX4050 105W 165Hz 15.6"" Dos Gaming Laptop G870.1362-DFA0X-C",CASPER,Oyun,Siyah; Gri,2 - 4 kg,Intel Core i7,13620H,13. Nesil,10,4.9,32 GB,DDR4,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),165 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:49:29,47.999 TL,https://www.trendyol.com/casper/excalibur-i7-13620h-32gb-1tb-ssd-6gb-rtx4050-105w-165hz-15-6-dos-gaming-laptop-g870-1362-dfa0x-c-p-672157475?boutiqueId=681310&merchantId=968
V15 82YU0123TX RYZEN5-7520U 16GB 512SSD 15.6 FreeDos,LENOVO,Ofis - İş,Çok renkli; Siyah,2 - 4 kg,AMD Ryzen 5,7520U,5. Nesil,4,3.0,16 GB,Birleşik Bellek,Dahili Ekran Kartı,Dahili,Paylaşımlı,Belirtilmemiş,512 GB,256 GB,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,,Windows,2025-12-03 01:49:30,19.989 TL,https://www.trendyol.com/lenovo/v15-82yu0123tx-ryzen5-7520u-16gb-512ssd-15-6-freedos-p-816046818?boutiqueId=61&merchantId=141868
"Ideapad1 Intel Celeron-N4120 4GB 128GB EMMC DOS 15.6"" Cloud Grey Laptop (Lenovo Türkiye Garantili)",LENOVO,Ev - Okul,Gri,2 kg ve altı,Intel Celeron,N4120,4. Nesil,4,,,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,HDD Yok,"15,6 inç",1366 x 768,HD Ready (HD),60 Hz,TN,Free Dos (İşletim Sistemi Yok),2025-12-03 01:49:31,10.399 TL,https://www.trendyol.com/lenovo/ideapad1-intel-celeron-n4120-4gb-128gb-emmc-dos-15-6-cloud-grey-laptop-lenovo-turkiye-garantili-p-652489295?boutiqueId=61&merchantId=557390
"Swift 3 AMD Ryzen 5-5500U 8GB 512GB SSD FreeDos 14"" 1.2kg FHD Gümüş Dizüstü Bilgisayar NX.AB1EY.002",ACER,Ofis - İş,GRI; Gri,2 kg ve altı,AMD Ryzen 5,5500U,5. Nesil,6,4.0,8 GB,LPDDR4X,AMD Radeon R5,Dahili,Paylaşımlı,Dahili,512 GB,512 GB,14 inç,1920 x 1080,Full HD (FHD),60 Hz,TN,Free Dos (İşletim Sistemi Yok),2025-12-03 01:49:32,19.990 TL,https://www.trendyol.com/acer/swift-3-amd-ryzen-5-5500u-8gb-512gb-ssd-freedos-14-1-2kg-fhd-gumus-dizustu-bilgisayar-nx-ab1ey-002-p-300442845?boutiqueId=61&merchantId=1064603
"Macbook Air 13.6"" M2 8gb 256gb Ssd Gece Yarısı",Apple,Ofis - İş,Mavi,2 kg ve altı,Apple M2,Belirtilmemiş,2. Nesil,8,,,Birleşik Bellek,M2 8 Çekirdekli,Dahili,8 GB,Dahili,,HDD Yok,"13,6 inç",2560 x 1600,Ultra HD 4K (UHD),120 Hz,,Mac Os,2025-12-03 01:49:33,40.000 TL,https://www.trendyol.com/apple/macbook-air-13-6-m2-8gb-256gb-ssd-gece-yarisi-p-336318153?boutiqueId=61&merchantId=621599
"IdeaPad Slim 3 Intel Celeron N100 4GB 128GB Intel UHD Graphics 15.6"" FHD W11 Notebook",LENOVO,Ofis - İş,Gri,2 kg ve altı,Intel Celeron,Alder Lake-N N100,Belirtilmemiş,4,2.6,4 GB,DDR4,Intel UHD Graphics 600,Dahili,Paylaşımlı,Belirtilmemiş,128 GB,Belirtilmemiş,"15,6 inç",1366 x 768,Full HD (FHD),Belirtilmemiş,TN,Windows,2025-12-03 01:49:34,10.099 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-celeron-n100-4gb-128gb-intel-uhd-graphics-15-6-fhd-w11-notebook-p-382953334?boutiqueId=61&merchantId=1195103
